index,axis-0,axis-1,axis-2
0.0,0.0,12.139506562898529,99.79885568851161
1.0,0.0,0.5125921902301496,87.45423055209827
2.0,0.0,12.28304871564752,92.19112159281502
3.0,0.0,11.56533795190256,95.92321756428882
4.0,0.0,8.263868438675736,99.22468707751564
5.0,0.0,5.536567536444882,89.46382069058416
6.0,0.0,2.522182328716042,62.4778959737736
7.0,0.0,0.6561343429791417,65.63582333425143
8.0,0.0,0.3690500374811565,56.162041252817936
9.0,0.0,22.905168019072956,111.138685755682
10.0,0.0,17.73765052010923,110.85160145018402
11.0,0.0,15.010349617878376,113.1482758941679
12.0,1.0,7.054482842359439,86.00838135264215
13.0,1.0,8.647080588313072,93.97137008241029
14.0,1.0,12.363141995538216,93.61745947219839
15.0,1.0,14.309650351703768,102.11131411728442
16.0,1.0,10.593588944478624,104.94259899897978
17.0,1.0,26.165655793803033,94.67919130283414
18.0,1.0,28.28911945507454,121.04553176362205
19.0,1.0,23.334370912107687,124.05377195042337
20.0,1.0,25.457834573379195,122.99204011978759
21.0,1.0,0.5071365534389507,117.8603362717148
22.0,1.0,0.8610471636508681,110.78212406747642
23.0,2.0,5.645695355250833,93.48017829357352
24.0,2.0,2.6098594905789323,96.13653467516143
25.0,2.0,0.5227223336170024,90.06486294581762
26.0,2.0,4.127777422914882,104.86456278609313
27.0,2.0,24.240190026366214,109.41831658310097
28.0,2.0,5.645695355250833,117.57712546940671
29.0,2.0,9.630229927632698,119.66426262636864
30.0,2.0,18.542608737654568,112.11275895294683
31.0,2.0,20.51595063583989,107.11362614421068
32.0,2.0,17.75327197838044,108.95541191585032
33.0,2.0,19.331945496928697,100.00959531074352
34.0,2.0,0.677170777210776,40.32171265108635
35.0,2.0,5.6944052661209765,98.45117981768931
36.0,2.0,8.010238842449052,101.99304293442636
37.0,2.0,11.279650950206332,104.17265100626454
38.0,2.0,0.6540615999951674,106.48848458259262
39.0,2.0,32.25837864164889,122.29064310341948
40.0,2.0,27.76293699348263,121.33706457199028
