index,axis-0,axis-1,axis-2
0.0,7.0,1.2850335516946485,99.895010795219
1.0,7.0,30.32366417363625,122.82024549675185
2.0,7.0,48.445516366276514,119.54521196796144
3.0,4.0,1.5033691202806878,80.02647405389051
4.0,4.0,15.476845509786406,109.50177581300419
5.0,4.0,20.716899155851056,121.72856765382171
6.0,4.0,10.6734630008938,123.25691663392391
7.0,5.0,17.660201195646675,120.8552253794776
8.0,5.0,2.1583758260387715,79.37146734813243
9.0,6.0,0.8483624145225938,98.80333295228886
10.0,6.0,44.078804994555966,122.3835743595798
11.0,6.0,25.301946096157643,98.58499738370283
12.0,6.0,34.69037554535681,109.93844695017624
13.0,7.0,38.40208021131927,108.62843353866008
14.0,8.0,11.765140843823957,99.02166852087488
15.0,8.0,68.09571753901898,115.1785005962409
16.0,8.0,63.07399946154035,112.55847377320858
17.0,8.0,70.49740879346527,122.60190992816582
18.0,8.0,25.520281664743653,122.82024549675185
19.0,9.0,20.935234724437088,117.36185628210117
20.0,9.0,13.51182539251217,100.55001750097708
21.0,9.0,71.37075106780938,121.51023208523569
22.0,9.0,35.78205338828694,121.51023208523569
23.0,9.0,12.420147549582039,90.72491691460584
24.0,9.0,13.0751542553401,120.20021867371952
25.0,9.0,4.341731511899011,119.32687639937542
26.0,9.0,27.485301782017896,123.47525220250994
27.0,10.0,57.39727467830365,95.0916282863264
28.0,10.0,51.28387875789489,95.0916282863264
29.0,11.0,67.00403969608884,105.5717355784557
30.0,11.0,72.89910004791157,99.24000408946091
31.0,11.0,51.50221432648092,97.27498397218666
32.0,11.0,12.420147549582069,50.76950786336286
33.0,11.0,66.34903299033076,111.90346706745049
34.0,11.0,42.33212044586777,92.47160146329406
35.0,11.0,50.19220091496476,86.57654111147133
36.0,12.0,69.62406651912119,84.39318542561105
37.0,12.0,61.32731491285215,78.71646064237434
38.0,12.0,56.74226797254559,73.69474256489572
39.0,12.0,52.157221032239,78.49812507378832
40.0,12.0,57.17893910971764,83.51984315126695
41.0,12.0,80.97751608559457,110.15678251876227
42.0,12.0,73.99077789084174,87.01321224864338
43.0,12.0,73.77244232225569,99.67667522663297
44.0,12.0,67.87738197043295,107.53675569572995
45.0,12.0,55.650590129615416,120.63688981089157
46.0,12.0,13.29348982392616,78.71646064237434
47.0,12.0,22.245248135953275,81.77315860257873
48.0,12.0,50.41053648355078,97.71165510935872
49.0,12.0,42.5504560144538,91.59825918894995
50.0,12.0,3.031718100382856,109.93844695017624
51.0,12.0,14.166832098270246,110.15678251876227
52.0,13.0,80.54084494842255,87.23154781722941
53.0,13.0,82.94253620286882,92.90827260046612
54.0,13.0,82.94253620286882,99.45833965804694
55.0,13.0,89.92927439762171,93.99995044339626
56.0,13.0,87.96425428034746,88.54156122874558
57.0,13.0,63.72900616729846,79.37146734813243
58.0,13.0,55.86892569820148,68.23635335024504
59.0,13.0,55.43225456102942,75.22309154499791
60.0,13.0,48.227180797690515,77.40644723085819
61.0,13.0,50.84720762072285,81.77315860257873
62.0,13.0,43.860469425969974,79.1531317795464
63.0,13.0,40.58543589717956,87.66821895440147
64.0,13.0,12.856818686754105,77.18811166227216
65.0,13.0,13.511825392512163,110.59345365593433
66.0,13.0,4.9967382176571045,107.31842012714392
67.0,13.0,25.083610527571615,98.14832624653077
68.0,13.0,41.8954493086957,110.59345365593433
69.0,13.0,71.58908663639542,78.49812507378832
70.0,13.0,78.79416039973432,80.24480962247654
71.0,14.0,42.55045601445379,100.11334636380502
72.0,14.0,43.642133857383925,109.06510467583213
73.0,14.0,88.61926098610556,85.92153440571325
74.0,14.0,90.80261667196582,93.99995044339626
75.0,14.0,60.23563706992202,73.91307813348175
76.0,14.0,63.72900616729846,79.80813848530448
77.0,14.0,56.30559683537353,76.31476938792805
78.0,14.0,78.79416039973432,76.31476938792805
79.0,14.0,72.8991000479116,68.89136005600312
80.0,14.0,77.26581141963212,109.50177581300419
81.0,14.0,84.68922075155703,108.62843353866008
82.0,14.0,81.41418722276663,116.051842870585
83.0,14.0,15.91351664695846,112.34013820462255
84.0,14.0,25.083610527571615,98.80333295228886
85.0,14.0,113.94618694208467,115.39683616482692
86.0,14.0,3.0317181003828715,89.41490350308969
87.0,14.0,41.89544930869572,90.50658134601981
88.0,14.0,69.8424020877072,74.56808483923983
89.0,14.0,59.58063036416394,66.48966880155682
90.0,14.0,55.86892569820148,70.20137346751929
91.0,14.0,8.271771746447527,88.54156122874558
92.0,14.0,18.97021460716286,89.63323907167572
93.0,14.0,29.450321899292156,108.19176240148802
94.0,14.0,22.463583704539282,109.28344024441816
95.0,14.0,16.350187784130554,63.43297084135244
96.0,14.0,25.520281664743727,25.224246338797677
97.0,14.0,80.10417381125048,104.69839330411159
98.0,15.0,58.707288089819855,34.83101135658288
99.0,15.0,63.0739994615404,39.634393865475474
100.0,15.0,15.476845509786441,63.214635272766415
101.0,15.0,29.886993036464236,74.78642040782586
102.0,15.0,4.123395943313063,19.54752155556097
103.0,15.0,28.14030848777603,54.481212529325326
104.0,15.0,51.283878757894925,53.17119911780917
105.0,15.0,43.86046942596998,71.29305131044943
106.0,15.0,46.26216068041625,95.74663499208448
107.0,15.0,41.240442602937634,99.24000408946091
108.0,15.0,46.262160680416244,110.59345365593433
109.0,15.0,77.26581141963214,74.56808483923983
110.0,15.0,85.34422745731516,75.00475597641189
111.0,15.0,64.38401287305652,72.38472915337955
112.0,15.0,61.54565048143817,90.06991020884776
113.0,15.0,51.283878757894875,117.5801918506872
114.0,15.0,62.63732832436829,120.20021867371952
115.0,15.0,17.660201195646682,114.30515832189678
116.0,15.0,13.511825392512161,111.90346706745049
117.0,15.0,7.3984294721034,111.03012479310638
118.0,15.0,0.41169127735053496,103.1700443240094
119.0,15.0,113.94618694208467,119.32687639937542
120.0,16.0,57.61561024688974,25.442581907383705
121.0,16.0,58.707288089819855,35.0493469251689
122.0,16.0,60.45397263850807,38.97938715971739
123.0,16.0,64.38401287305655,40.28940057123356
124.0,16.0,48.22718079769056,25.442581907383705
125.0,16.0,40.36710032859358,25.224246338797677
126.0,16.0,51.93888546365302,35.70435363092698
127.0,16.0,30.541999742222327,57.756246058115735
128.0,16.0,58.05228138406172,94.21828601198229
129.0,16.0,58.70728808981981,87.01321224864338
130.0,16.0,83.59754290862693,84.61152099419708
131.0,16.0,84.47088518297105,75.22309154499791
132.0,16.0,76.82914028246009,76.09643381934202
133.0,16.0,70.93407993063735,77.40644723085819
134.0,16.0,74.42744902801378,102.29670204966529
135.0,16.0,73.55410675366967,105.13506444128365
136.0,16.0,71.80742220498145,101.64169534390722
137.0,16.0,50.41053648355078,100.7683530695631
138.0,16.0,72.02575777356746,97.71165510935872
139.0,16.0,72.89910004791156,120.20021867371952
140.0,16.0,75.5191268709439,116.48851400775706
141.0,16.0,67.44071083326088,111.24846036169241
142.0,16.0,67.00403969608884,106.66341342138584
143.0,16.0,7.398429472103407,101.20502420673516
144.0,16.0,16.78685892130258,99.895010795219
145.0,16.0,23.118590410297372,98.3666618151168
146.0,16.0,22.026912567367226,108.41009797007405
147.0,16.0,17.660201195646685,107.53675569572995
148.0,16.0,12.420147549582024,110.81178922452035
149.0,16.0,2.158375826038756,99.67667522663297
150.0,16.0,1.0666979831086243,95.30996385491243
151.0,17.0,72.2440933421535,93.12660816905215
152.0,17.0,79.23083153690636,93.78161487481023
153.0,17.0,79.44916710549242,88.7598967973316
154.0,17.0,74.86412016518584,99.45833965804694
155.0,17.0,58.707288089819805,94.21828601198229
156.0,17.0,64.16567730447049,100.7683530695631
157.0,17.0,67.4407108332609,107.1000845585579
158.0,17.0,68.09571753901899,96.18330612925652
159.0,17.0,29.23198633070613,107.31842012714392
160.0,17.0,15.4768455097864,118.45353412503131
161.0,17.0,13.075154255340134,74.13141370206777
162.0,17.0,0.8483624145226168,68.23635335024504
163.0,17.0,1.0666979831086487,62.99629970418039
164.0,17.0,13.94849652968427,42.691091825679855
165.0,17.0,60.89064377568011,63.214635272766415
166.0,17.0,75.955798008116,49.022823314674646
167.0,17.0,73.33577118508367,44.874447511540126
168.0,17.0,65.4756907159867,44.6561119429541
169.0,17.0,55.43225456102945,36.57769590527109
170.0,17.0,55.432254561029445,46.839467628814376
171.0,17.0,91.02095224055186,65.83466209579873
172.0,17.0,103.90275078712747,76.96977609368614
173.0,17.0,33.81703327101277,14.307467909496314
174.0,17.0,28.35864405636209,14.307467909496314
175.0,17.0,37.31040236838916,66.92633993872887
176.0,17.0,48.22718079769051,86.3582055428853
177.0,17.0,75.08245573377188,64.30631311569655
178.0,17.0,76.17413357670199,70.63804460469134
179.0,17.0,72.02575777356748,71.51138687903546
180.0,17.0,56.0872612667875,76.53310495651408
181.0,18.0,128.6770960732455,96.64497209981778
182.0,18.0,129.10922194236701,103.5589860057619
183.0,18.0,129.75741074604926,108.74449643521999
184.0,18.0,74.22923656393553,41.98104965594704
185.0,18.0,80.27899873163663,50.83962997293795
186.0,18.0,66.66703385430914,90.37914699755589
187.0,18.0,63.64215277045859,93.40402808140645
188.0,18.0,29.072083240737967,115.22638447204258
189.0,18.0,17.40468477445726,99.88591611822906
190.0,18.0,25.182950418644403,103.34292307120113
191.0,18.0,17.188621839896506,113.49788099555656
192.0,18.0,19.565314120064798,117.81913968677163
193.0,18.0,15.676181297971228,117.38701381765013
194.0,18.0,6.169412177298058,71.1495458216488
195.0,18.0,108.36718022453464,64.66765778482619
196.0,18.0,77.47018058234683,73.31017516725635
197.0,18.0,75.95774004042156,88.00245471738761
198.0,18.0,55.21569832258919,36.363413357367435
199.0,18.0,62.34577516309407,71.79773462533106
200.0,18.0,61.2654604902903,62.29096550465789
201.0,18.0,35.553971277560585,91.2433987357989
202.0,18.0,48.30168441664507,10.219798275516222
203.0,18.0,59.53695701380426,99.66985318366831
204.0,18.0,103.8298585987588,119.54764316325766
205.0,18.0,92.37852306703884,101.18229372559358
206.0,18.0,82.43962807724417,115.44244740660334
207.0,18.0,71.85254428376723,72.22986049445257
208.0,18.0,46.573180940159034,65.31584658850845
209.0,18.0,50.0301878931311,59.266084420807346
210.0,19.0,27.12751682969119,104.20717480944414
