index,axis-0,axis-1,axis-2
0.0,0.0,16.175255667686386,118.9503580366037
1.0,0.0,29.79895070125695,121.64671434533122
2.0,0.0,5.957484392508464,103.48178763390379
3.0,0.0,0.7066852649864757,97.66333454664971
4.0,0.0,1.4162527146516108,113.98338588894777
5.0,0.0,22.13562224487351,121.50480085539819
6.0,1.0,11.917850969695584,102.9141336741717
7.0,1.0,21.85179526500746,119.37609850640278
8.0,1.0,34.05635539924775,121.64671434533122
9.0,1.0,27.528334862328528,123.34967622452753
10.0,1.0,1.5581662045846354,95.25080521778824
11.0,2.0,2.5507366887587715,94.18824918310919
12.0,2.0,17.877393601525654,86.95066119652483
13.0,2.0,5.105179507553254,88.79553656565417
14.0,2.0,19.864182460588026,96.03312455223855
15.0,2.0,10.214065145142216,114.33996475359898
