 ,Area,Mean,Min,Max,X,Y,Slice
1,0,17.913,17.913,17.913,50,77,1
2,0,17.017,17.017,17.017,63,182,1
3,0,16.492,16.492,16.492,59,51,1
4,0,16.156,16.156,16.156,29,6,1
5,0,15.273,15.273,15.273,2,20,1
6,0,14.941,14.941,14.941,73,110,1
7,0,14.918,14.918,14.918,92,16,1
8,0,18.146,18.146,18.146,50,77,2
9,0,18.006,18.006,18.006,124,0,2
10,0,17.447,17.447,17.447,75,77,2
11,0,16.471,16.471,16.471,59,51,2
12,0,16.285,16.285,16.285,2,20,2
13,0,16.245,16.245,16.245,29,6,2
14,0,14.642,14.642,14.642,64,215,2
15,0,22.887,22.887,22.887,115,7,3
16,0,22.747,22.747,22.747,113,3,3
17,0,21.310,21.310,21.310,124,12,3
18,0,18.307,18.307,18.307,50,77,3
19,0,16.762,16.762,16.762,63,182,3
20,0,16.418,16.418,16.418,59,51,3
21,0,16.172,16.172,16.172,29,6,3
22,0,15.861,15.861,15.861,75,77,3
23,0,24.031,24.031,24.031,124,12,4
24,0,22.780,22.780,22.780,113,3,4
25,0,22.665,22.665,22.665,123,15,4
26,0,22.531,22.531,22.531,115,7,4
27,0,17.697,17.697,17.697,75,77,4
28,0,17.537,17.537,17.537,50,77,4
29,0,17.376,17.376,17.376,79,0,4
30,0,16.817,16.817,16.817,63,182,4
31,0,16.744,16.744,16.744,29,6,4
32,0,16.386,16.386,16.386,59,51,4
33,0,25.568,25.568,25.568,78,1,5
34,0,25.013,25.013,25.013,124,12,5
35,0,23.111,23.111,23.111,80,2,5
36,0,22.556,22.556,22.556,123,15,5
37,0,21.739,21.739,21.739,85,0,5
38,0,20.204,20.204,20.204,105,14,5
39,0,17.580,17.580,17.580,50,77,5
40,0,16.671,16.671,16.671,59,51,5
41,0,16.572,16.572,16.572,75,77,5
42,0,15.826,15.826,15.826,29,6,5
43,0,15.489,15.489,15.489,92,16,5
44,0,15.411,15.411,15.411,63,182,5
45,0,15.339,15.339,15.339,2,20,5
46,0,15.156,15.156,15.156,46,158,5
47,0,15.131,15.131,15.131,39,15,5
48,0,29.420,29.420,29.420,117,25,6
49,0,26.290,26.290,26.290,101,25,6
50,0,24.294,24.294,24.294,78,1,6
51,0,23.050,23.050,23.050,80,2,6
52,0,21.406,21.406,21.406,107,23,6
53,0,21.108,21.108,21.108,123,31,6
54,0,20.892,20.892,20.892,81,9,6
55,0,18.173,18.173,18.173,50,77,6
56,0,17.992,17.992,17.992,2,20,6
57,0,17.547,17.547,17.547,100,1,6
58,0,16.638,16.638,16.638,63,182,6
59,0,16.564,16.564,16.564,75,77,6
60,0,16.379,16.379,16.379,59,51,6
61,0,15.927,15.927,15.927,29,6,6
62,0,15.214,15.214,15.214,57,150,6
63,0,15.117,15.117,15.117,46,158,6
64,0,30.298,30.298,30.298,101,25,7
65,0,26.048,26.048,26.048,120,45,7
66,0,24.963,24.963,24.963,100,1,7
67,0,23.098,23.098,23.098,115,32,7
68,0,22.879,22.879,22.879,123,31,7
69,0,22.636,22.636,22.636,95,25,7
70,0,22.546,22.546,22.546,119,33,7
71,0,21.359,21.359,21.359,66,4,7
72,0,20.753,20.753,20.753,78,10,7
73,0,18.050,18.050,18.050,50,77,7
74,0,17.148,17.148,17.148,75,77,7
75,0,16.585,16.585,16.585,29,6,7
76,0,16.234,16.234,16.234,63,182,7
