 ,Area,Mean,Min,Max,X,Y,Slice
1,0,10.218,10.218,10.218,26,234,1
2,0,10.188,10.188,10.188,124,0,1
3,0,10.166,10.166,10.166,59,51,1
4,0,10.151,10.151,10.151,122,71,1
5,0,9.964,9.964,9.964,50,77,1
6,0,9.881,9.881,9.881,67,59,1
7,0,9.657,9.657,9.657,101,25,1
8,0,9.613,9.613,9.613,92,16,1
9,0,9.600,9.600,9.600,63,182,1
10,0,9.534,9.534,9.534,121,126,1
11,0,9.437,9.437,9.437,83,130,1
12,0,9.352,9.352,9.352,17,61,1
13,0,9.302,9.302,9.302,22,64,1
14,0,9.300,9.300,9.300,49,219,1
15,0,9.295,9.295,9.295,111,18,1
16,0,9.274,9.274,9.274,124,173,1
17,0,9.263,9.263,9.263,46,26,1
18,0,9.247,9.247,9.247,94,102,1
19,0,9.229,9.229,9.229,101,60,1
20,0,9.167,9.167,9.167,74,94,1
21,0,9.135,9.135,9.135,46,158,1
22,0,9.128,9.128,9.128,112,172,1
23,0,9.097,9.097,9.097,73,110,1
24,0,9.079,9.079,9.079,100,173,1
25,0,9.035,9.035,9.035,33,77,1
26,0,9.027,9.027,9.027,2,20,1
27,0,8.956,8.956,8.956,98,220,1
28,0,8.939,8.939,8.939,63,5,1
29,0,8.939,8.939,8.939,59,147,1
30,0,8.919,8.919,8.919,42,131,1
31,0,8.908,8.908,8.908,124,52,1
32,0,8.894,8.894,8.894,96,177,1
33,0,8.891,8.891,8.891,52,168,1
34,0,8.848,8.848,8.848,80,171,1
35,0,8.807,8.807,8.807,83,185,1
36,0,8.766,8.766,8.766,120,184,1
37,0,8.732,8.732,8.732,124,209,1
38,0,8.630,8.630,8.630,83,191,1
39,0,8.426,8.426,8.426,50,203,1
40,0,15.339,15.339,15.339,124,0,2
41,0,10.596,10.596,10.596,26,234,2
42,0,10.134,10.134,10.134,59,51,2
43,0,10.039,10.039,10.039,50,77,2
44,0,9.967,9.967,9.967,122,71,2
45,0,9.728,9.728,9.728,121,126,2
46,0,9.650,9.650,9.650,67,59,2
47,0,9.607,9.607,9.607,92,16,2
48,0,9.567,9.567,9.567,101,25,2
49,0,9.539,9.539,9.539,75,77,2
50,0,9.425,9.425,9.425,49,219,2
51,0,9.383,9.383,9.383,16,0,2
52,0,9.325,9.325,9.325,74,94,2
53,0,9.321,9.321,9.321,83,130,2
54,0,9.290,9.290,9.290,2,20,2
55,0,9.283,9.283,9.283,46,26,2
56,0,9.246,9.246,9.246,17,61,2
57,0,9.225,9.225,9.225,46,158,2
58,0,9.202,9.202,9.202,111,18,2
59,0,9.145,9.145,9.145,39,15,2
60,0,9.132,9.132,9.132,22,64,2
61,0,9.126,9.126,9.126,112,172,2
62,0,9.108,9.108,9.108,0,78,2
63,0,9.094,9.094,9.094,94,102,2
64,0,9.087,9.087,9.087,100,173,2
