 ,Area,Mean,Min,Max,X,Y,Slice
1,0,19.926,19.926,19.926,50,77,1
2,0,18.932,18.932,18.932,63,182,1
3,0,20.196,20.196,20.196,50,77,2
4,0,19.410,19.410,19.410,75,77,2
5,0,24.633,24.633,24.633,113,3,3
6,0,20.409,20.409,20.409,50,77,3
7,0,25.540,25.540,25.540,124,12,4
8,0,24.624,24.624,24.624,113,3,4
9,0,19.711,19.711,19.711,75,77,4
10,0,19.486,19.486,19.486,50,77,4
11,0,27.703,27.703,27.703,78,1,5
12,0,26.740,26.740,26.740,124,12,5
13,0,24.700,24.700,24.700,123,15,5
14,0,22.462,22.462,22.462,105,14,5
15,0,19.493,19.493,19.493,50,77,5
16,0,32.818,32.818,32.818,117,25,6
17,0,28.627,28.627,28.627,101,25,6
18,0,26.446,26.446,26.446,78,1,6
19,0,20.191,20.191,20.191,50,77,6
20,0,20.099,20.099,20.099,2,20,6
21,0,33.505,33.505,33.505,101,25,7
22,0,27.836,27.836,27.836,120,45,7
23,0,26.810,26.810,26.810,100,1,7
24,0,25.233,25.233,25.233,115,32,7
25,0,23.162,23.162,23.162,66,4,7
26,0,20.056,20.056,20.056,50,77,7
27,0,19.051,19.051,19.051,75,77,7
28,0,32.584,32.584,32.584,100,1,8
29,0,31.782,31.782,31.782,120,45,8
30,0,30.789,30.789,30.789,109,39,8
31,0,25.892,25.892,25.892,101,25,8
32,0,24.899,24.899,24.899,66,4,8
33,0,19.521,19.521,19.521,50,77,8
34,0,19.484,19.484,19.484,59,51,8
35,0,33.017,33.017,33.017,115,69,9
36,0,29.951,29.951,29.951,109,39,9
37,0,29.439,29.439,29.439,100,1,9
38,0,28.514,28.514,28.514,120,45,9
39,0,24.985,24.985,24.985,81,24,9
40,0,22.835,22.835,22.835,54,2,9
41,0,19.417,19.417,19.417,50,77,9
42,0,54.047,54.047,54.047,112,68,10
43,0,34.860,34.860,34.860,82,31,10
44,0,33.782,33.782,33.782,120,45,10
45,0,33.335,33.335,33.335,79,35,10
46,0,29.142,29.142,29.142,103,40,10
47,0,28.677,28.677,28.677,60,19,10
48,0,27.534,27.534,27.534,34,1,10
49,0,27.113,27.113,27.113,105,14,10
50,0,26.528,26.528,26.528,81,24,10
51,0,25.191,25.191,25.191,99,13,10
52,0,19.369,19.369,19.369,50,77,10
53,0,19.048,19.048,19.048,63,182,10
54,0,39.045,39.045,39.045,112,70,11
55,0,37.600,37.600,37.600,79,35,11
56,0,33.309,33.309,33.309,82,31,11
57,0,32.065,32.065,32.065,51,13,11
58,0,31.126,31.126,31.126,115,55,11
59,0,30.505,30.505,30.505,31,2,11
60,0,30.116,30.116,30.116,116,37,11
61,0,28.758,28.758,28.758,103,43,11
62,0,27.173,27.173,27.173,96,47,11
63,0,25.521,25.521,25.521,81,38,11
64,0,25.243,25.243,25.243,105,14,11
65,0,24.288,24.288,24.288,124,80,11
66,0,22.556,22.556,22.556,100,1,11
67,0,21.931,21.931,21.931,81,24,11
68,0,18.740,18.740,18.740,50,77,11
69,0,49.536,49.536,49.536,105,43,12
70,0,45.062,45.062,45.062,96,58,12
71,0,40.599,40.599,40.599,107,52,12
72,0,40.592,40.592,40.592,118,56,12
73,0,37.667,37.667,37.667,83,62,12
74,0,37.140,37.140,37.140,79,35,12
75,0,34.341,34.341,34.341,51,13,12
76,0,32.535,32.535,32.535,31,2,12
77,0,32.479,32.479,32.479,123,38,12
78,0,30.996,30.996,30.996,112,70,12
79,0,30.768,30.768,30.768,104,31,12
80,0,28.295,28.295,28.295,40,15,12
81,0,27.779,27.779,27.779,105,14,12
82,0,26.733,26.733,26.733,68,38,12
83,0,25.663,25.663,25.663,122,80,12
84,0,25.198,25.198,25.198,81,24,12
85,0,20.498,20.498,20.498,50,77,12
86,0,19.425,19.425,19.425,2,20,12
87,0,50.803,50.803,50.803,88,81,13
88,0,47.311,47.311,47.311,89,50,13
89,0,44.571,44.571,44.571,106,43,13
90,0,40.418,40.418,40.418,79,35,13
91,0,38.047,38.047,38.047,116,71,13
92,0,36.644,36.644,36.644,80,62,13
93,0,31.996,31.996,31.996,119,37,13
94,0,31.665,31.665,31.665,85,70,13
95,0,31.266,31.266,31.266,105,85,13
96,0,30.906,30.906,30.906,59,37,13
97,0,30.390,30.390,30.390,81,24,13
98,0,29.497,29.497,29.497,31,2,13
99,0,28.789,28.789,28.789,40,15,13
100,0,28.603,28.603,28.603,105,14,13
101,0,28.254,28.254,28.254,80,15,13
102,0,27.091,27.091,27.091,88,60,13
103,0,24.375,24.375,24.375,107,14,13
104,0,22.451,22.451,22.451,75,77,13
105,0,22.304,22.304,22.304,100,1,13
106,0,19.830,19.830,19.830,2,20,13
107,0,19.678,19.678,19.678,50,77,13
108,0,64.926,64.926,64.926,111,81,14
109,0,51.912,51.912,51.912,113,50,14
110,0,49.429,49.429,49.429,88,81,14
111,0,47.718,47.718,47.718,82,58,14
112,0,45.105,45.105,45.105,76,56,14
113,0,41.081,41.081,41.081,117,70,14
114,0,38.595,38.595,38.595,100,41,14
115,0,37.093,37.093,37.093,79,35,14
116,0,34.667,34.667,34.667,80,15,14
117,0,31.634,31.634,31.634,119,38,14
118,0,30.483,30.483,30.483,59,37,14
119,0,30.240,30.240,30.240,105,14,14
120,0,28.921,28.921,28.921,40,27,14
121,0,28.023,28.023,28.023,107,14,14
122,0,26.997,26.997,26.997,116,109,14
123,0,26.422,26.422,26.422,59,28,14
124,0,26.096,26.096,26.096,81,24,14
125,0,24.849,24.849,24.849,122,86,14
126,0,24.102,24.102,24.102,35,29,14
127,0,23.084,23.084,23.084,101,25,14
128,0,65.086,65.086,65.086,87,89,15
129,0,62.316,62.316,62.316,85,78,15
130,0,53.957,53.957,53.957,118,68,15
131,0,53.137,53.137,53.137,118,51,15
132,0,52.790,52.790,52.790,101,85,15
133,0,39.105,39.105,39.105,73,61,15
134,0,32.494,32.494,32.494,105,14,15
135,0,32.452,32.452,32.452,101,25,15
136,0,32.180,32.180,32.180,79,35,15
137,0,32.021,32.021,32.021,101,17,15
138,0,31.532,31.532,31.532,110,44,15
139,0,31.359,31.359,31.359,124,115,15
140,0,31.334,31.334,31.334,20,4,15
141,0,29.977,29.977,29.977,59,37,15
142,0,28.689,28.689,28.689,75,28,15
143,0,27.656,27.656,27.656,107,14,15
