 ,Area,Mean,Min,Max,X,Y,Slice
1,0,10.218,10.218,10.218,26,234,1
2,0,15.339,15.339,15.339,124,0,2
3,0,17.166,17.166,17.166,124,0,3
4,0,17.153,17.153,17.153,124,12,4
5,0,17.428,17.428,17.428,79,0,5
6,0,17.212,17.212,17.212,124,12,5
7,0,16.656,16.656,16.656,101,25,6
8,0,23.677,23.677,23.677,124,44,7
9,0,24.259,24.259,24.259,100,1,8
10,0,22.032,22.032,22.032,120,45,8
11,0,29.090,29.090,29.090,116,69,9
12,0,22.110,22.110,22.110,100,1,9
13,0,20.696,20.696,20.696,124,53,9
14,0,45.631,45.631,45.631,112,68,10
15,0,21.600,21.600,21.600,60,19,10
16,0,20.939,20.939,20.939,99,13,10
17,0,33.879,33.879,33.879,113,69,11
18,0,29.018,29.018,29.018,115,55,11
19,0,27.171,27.171,27.171,124,36,11
20,0,25.424,25.424,25.424,51,13,11
21,0,44.131,44.131,44.131,105,43,12
22,0,39.149,39.149,39.149,96,58,12
23,0,38.418,38.418,38.418,117,57,12
24,0,32.566,32.566,32.566,83,62,12
25,0,29.102,29.102,29.102,123,37,12
26,0,27.840,27.840,27.840,51,13,12
27,0,24.443,24.443,24.443,104,30,12
28,0,22.960,22.960,22.960,121,79,12
29,0,42.854,42.854,42.854,88,81,13
30,0,41.048,41.048,41.048,89,50,13
31,0,40.105,40.105,40.105,106,44,13
32,0,33.607,33.607,33.607,116,71,13
33,0,32.201,32.201,32.201,76,57,13
34,0,27.331,27.331,27.331,119,37,13
35,0,58.439,58.439,58.439,111,81,14
36,0,43.798,43.798,43.798,113,51,14
37,0,43.509,43.509,43.509,88,81,14
38,0,41.409,41.409,41.409,82,58,14
39,0,39.056,39.056,39.056,74,55,14
40,0,35.429,35.429,35.429,117,71,14
41,0,34.515,34.515,34.515,100,41,14
42,0,27.321,27.321,27.321,119,38,14
43,0,24.043,24.043,24.043,117,109,14
44,0,23.985,23.985,23.985,111,13,14
45,0,23.358,23.358,23.358,60,28,14
46,0,20.602,20.602,20.602,78,13,14
47,0,59.707,59.707,59.707,87,89,15
48,0,52.815,52.815,52.815,85,78,15
49,0,48.369,48.369,48.369,100,84,15
50,0,46.786,46.786,46.786,118,69,15
51,0,45.723,45.723,45.723,117,51,15
52,0,36.352,36.352,36.352,85,42,15
53,0,28.527,28.527,28.527,19,4,15
54,0,28.166,28.166,28.166,110,43,15
55,0,24.774,24.774,24.774,105,4,15
56,0,24.281,24.281,24.281,74,28,15
57,0,22.051,22.051,22.051,124,115,15
58,0,64.812,64.812,64.812,109,84,16
59,0,52.179,52.179,52.179,118,75,16
60,0,48.562,48.562,48.562,85,89,16
61,0,48.231,48.231,48.231,102,71,16
62,0,46.149,46.149,46.149,85,79,16
63,0,35.679,35.679,35.679,94,67,16
64,0,34.772,34.772,34.772,76,52,16
65,0,32.238,32.238,32.238,101,6,16
66,0,31.314,31.314,31.314,69,71,16
67,0,30.205,30.205,30.205,20,4,16
68,0,26.271,26.271,26.271,118,114,16
69,0,25.470,25.470,25.470,111,45,16
70,0,22.797,22.797,22.797,74,29,16
71,0,20.403,20.403,20.403,54,52,16
72,0,19.365,19.365,19.365,63,15,16
73,0,65.077,65.077,65.077,104,73,17
74,0,57.101,57.101,57.101,85,73,17
75,0,48.360,48.360,48.360,101,83,17
76,0,43.443,43.443,43.443,95,66,17
77,0,40.151,40.151,40.151,73,9,17
78,0,37.274,37.274,37.274,35,59,17
79,0,35.215,35.215,35.215,26,57,17
80,0,34.194,34.194,34.194,101,7,17
81,0,33.736,33.736,33.736,71,46,17
82,0,31.874,31.874,31.874,110,57,17
83,0,22.852,22.852,22.852,110,110,17
84,0,67.539,67.539,67.539,106,74,18
85,0,49.994,49.994,49.994,106,107,18
86,0,45.650,45.650,45.650,111,59,18
87,0,44.728,44.728,44.728,115,17,18
88,0,38.248,38.248,38.248,100,17,18
89,0,37.913,37.913,37.913,95,59,18
90,0,37.709,37.709,37.709,101,64,18
91,0,32.503,32.503,32.503,102,5,18
92,0,32.385,32.385,32.385,67,48,18
93,0,31.700,31.700,31.700,73,102,18
