 ,Area,Mean,Min,Max,X,Y,Slice
1,0,9.395,9.395,9.395,124,0,1
2,0,14.020,14.020,14.020,124,0,2
3,0,16.059,16.059,16.059,124,0,3
4,0,14.290,14.290,14.290,124,13,4
5,0,14.611,14.611,14.611,79,0,5
6,0,14.270,14.270,14.270,124,11,5
7,0,13.925,13.925,13.925,101,23,6
8,0,13.733,13.733,13.733,79,2,6
9,0,21.728,21.728,21.728,124,44,7
10,0,14.443,14.443,14.443,99,0,7
11,0,12.675,12.675,12.675,58,0,7
12,0,20.221,20.221,20.221,124,47,8
13,0,20.018,20.018,20.018,99,0,8
14,0,13.546,13.546,13.546,66,6,8
15,0,23.352,23.352,23.352,116,68,9
16,0,18.690,18.690,18.690,100,0,9
17,0,18.345,18.345,18.345,124,52,9
18,0,13.893,13.893,13.893,57,10,9
19,0,32.618,32.618,32.618,113,68,10
20,0,18.335,18.335,18.335,59,19,10
21,0,17.086,17.086,17.086,99,12,10
22,0,16.448,16.448,16.448,33,0,10
23,0,26.543,26.543,26.543,115,55,11
24,0,26.477,26.477,26.477,114,68,11
25,0,23.246,23.246,23.246,124,36,11
26,0,20.957,20.957,20.957,51,12,11
27,0,17.547,17.547,17.547,124,79,11
28,0,32.749,32.749,32.749,105,43,12
29,0,32.135,32.135,32.135,117,56,12
30,0,29.465,29.465,29.465,96,58,12
31,0,26.051,26.051,26.051,124,36,12
32,0,24.441,24.441,24.441,83,61,12
33,0,22.403,22.403,22.403,50,13,12
34,0,18.865,18.865,18.865,122,79,12
35,0,18.268,18.268,18.268,68,37,12
36,0,17.263,17.263,17.263,35,7,12
37,0,17.043,17.043,17.043,104,30,12
38,0,14.076,14.076,14.076,94,7,12
39,0,34.270,34.270,34.270,93,83,13
40,0,32.288,32.288,32.288,89,50,13
41,0,29.747,29.747,29.747,106,44,13
42,0,28.561,28.561,28.561,77,59,13
43,0,25.056,25.056,25.056,116,71,13
44,0,20.238,20.238,20.238,120,37,13
45,0,19.990,19.990,19.990,122,56,13
46,0,12.979,12.979,12.979,108,13,13
47,0,42.120,42.120,42.120,111,81,14
48,0,36.576,36.576,36.576,88,83,14
49,0,35.439,35.439,35.439,75,55,14
50,0,32.095,32.095,32.095,113,50,14
51,0,27.676,27.676,27.676,116,71,14
52,0,27.200,27.200,27.200,100,42,14
53,0,20.604,20.604,20.604,111,13,14
54,0,20.401,20.401,20.401,117,109,14
55,0,19.901,19.901,19.901,119,37,14
56,0,19.474,19.474,19.474,60,27,14
57,0,16.194,16.194,16.194,78,13,14
58,0,48.153,48.153,48.153,88,89,15
59,0,41.388,41.388,41.388,101,83,15
60,0,36.905,36.905,36.905,118,69,15
61,0,35.270,35.270,35.270,85,79,15
62,0,32.100,32.100,32.100,117,50,15
63,0,30.933,30.933,30.933,84,42,15
64,0,21.923,21.923,21.923,19,3,15
65,0,21.810,21.810,21.810,104,4,15
66,0,18.713,18.713,18.713,124,114,15
67,0,17.660,17.660,17.660,74,28,15
68,0,17.089,17.089,17.089,57,27,15
69,0,16.876,16.876,16.876,27,25,15
70,0,50.003,50.003,50.003,108,84,16
71,0,43.797,43.797,43.797,104,71,16
72,0,41.292,41.292,41.292,118,75,16
73,0,36.858,36.858,36.858,86,88,16
74,0,34.049,34.049,34.049,84,79,16
75,0,27.147,27.147,27.147,76,52,16
76,0,26.960,26.960,26.960,69,72,16
77,0,24.907,24.907,24.907,101,6,16
78,0,23.355,23.355,23.355,19,4,16
79,0,22.282,22.282,22.282,119,115,16
80,0,20.520,20.520,20.520,110,46,16
81,0,18.109,18.109,18.109,75,28,16
82,0,17.375,17.375,17.375,54,52,16
83,0,15.887,15.887,15.887,63,15,16
84,0,13.992,13.992,13.992,54,27,16
85,0,12.962,12.962,12.962,40,62,16
86,0,56.959,56.959,56.959,104,73,17
87,0,43.754,43.754,43.754,85,73,17
88,0,37.987,37.987,37.987,101,83,17
89,0,30.255,30.255,30.255,74,10,17
90,0,28.644,28.644,28.644,101,6,17
91,0,28.327,28.327,28.327,70,46,17
92,0,27.821,27.821,27.821,36,59,17
93,0,23.939,23.939,23.939,26,57,17
94,0,16.648,16.648,16.648,110,109,17
95,0,16.389,16.389,16.389,10,0,17
96,0,12.561,12.561,12.561,124,124,17
97,0,51.329,51.329,51.329,106,74,18
98,0,37.427,37.427,37.427,116,16,18
99,0,34.922,34.922,34.922,106,107,18
100,0,32.475,32.475,32.475,110,59,18
101,0,30.802,30.802,30.802,101,64,18
102,0,30.450,30.450,30.450,85,76,18
103,0,29.407,29.407,29.407,94,59,18
104,0,29.241,29.241,29.241,100,17,18
105,0,26.342,26.342,26.342,102,5,18
106,0,25.222,25.222,25.222,68,47,18
107,0,23.049,23.049,23.049,74,102,18
108,0,22.905,22.905,22.905,15,15,18
109,0,21.910,21.910,21.910,13,44,18
110,0,21.051,21.051,21.051,63,60,18
111,0,20.919,20.919,20.919,74,7,18
112,0,19.850,19.850,19.850,25,57,18
113,0,18.106,18.106,18.106,50,77,18
114,0,16.924,16.924,16.924,15,33,18
115,0,16.783,16.783,16.783,66,91,18
116,0,13.849,13.849,13.849,44,12,18
117,0,12.691,12.691,12.691,30,0,18
118,0,54.776,54.776,54.776,116,18,19
119,0,42.168,42.168,42.168,102,81,19
120,0,38.143,38.143,38.143,73,83,19
121,0,35.151,35.151,35.151,106,109,19
122,0,30.061,30.061,30.061,66,97,19
123,0,29.225,29.225,29.225,62,158,19
124,0,29.150,29.150,29.150,11,45,19
125,0,28.215,28.215,28.215,84,75,19
126,0,25.992,25.992,25.992,63,0,19
127,0,24.602,24.602,24.602,76,104,19
128,0,24.493,24.493,24.493,77,125,19
129,0,23.673,23.673,23.673,16,17,19
130,0,19.757,19.757,19.757,103,4,19
131,0,18.826,18.826,18.826,59,13,19
132,0,18.525,18.525,18.525,44,74,19
133,0,18.263,18.263,18.263,66,45,19
134,0,18.198,18.198,18.198,109,129,19
135,0,15.203,15.203,15.203,44,0,19
136,0,48.660,48.660,48.660,73,81,20
137,0,45.158,45.158,45.158,108,110,20
138,0,44.030,44.030,44.030,118,18,20
139,0,39.838,39.838,39.838,66,98,20
140,0,35.856,35.856,35.856,91,35,20
141,0,33.306,33.306,33.306,107,18,20
142,0,31.761,31.761,31.761,104,129,20
143,0,28.747,28.747,28.747,76,126,20
144,0,28.512,28.512,28.512,118,0,20
145,0,26.709,26.709,26.709,101,92,20
146,0,25.968,25.968,25.968,9,46,20
147,0,23.527,23.527,23.527,60,14,20
148,0,23.449,23.449,23.449,102,83,20
149,0,23.326,23.326,23.326,61,48,20
150,0,22.988,22.988,22.988,14,15,20
151,0,21.962,21.962,21.962,40,83,20
152,0,19.539,19.539,19.539,124,127,20
153,0,17.190,17.190,17.190,65,109,20
154,0,16.978,16.978,16.978,89,66,20
155,0,16.623,16.623,16.623,10,62,20
156,0,12.384,12.384,12.384,97,146,20
157,0,11.802,11.802,11.802,124,153,20
158,0,49.743,49.743,49.743,83,85,21
159,0,46.318,46.318,46.318,73,84,21
160,0,44.815,44.815,44.815,108,111,21
161,0,32.940,32.940,32.940,106,13,21
162,0,32.313,32.313,32.313,92,34,21
163,0,29.057,29.057,29.057,118,0,21
164,0,24.350,24.350,24.350,57,103,21
165,0,23.468,23.468,23.468,73,128,21
166,0,22.551,22.551,22.551,42,85,21
167,0,21.188,21.188,21.188,10,47,21
168,0,20.256,20.256,20.256,12,12,21
169,0,19.753,19.753,19.753,61,52,21
170,0,18.055,18.055,18.055,104,131,21
171,0,17.542,17.542,17.542,8,68,21
172,0,15.750,15.750,15.750,124,130,21
173,0,15.097,15.097,15.097,98,146,21
174,0,14.456,14.456,14.456,124,116,21
175,0,14.054,14.054,14.054,121,94,21
176,0,13.328,13.328,13.328,116,74,21
177,0,13.156,13.156,13.156,60,12,21
178,0,11.958,11.958,11.958,124,155,21
179,0,37.666,37.666,37.666,57,77,22
180,0,31.025,31.025,31.025,82,46,22
181,0,28.859,28.859,28.859,57,102,22
182,0,28.018,28.018,28.018,101,26,22
183,0,26.455,26.455,26.455,107,11,22
184,0,24.862,24.862,24.862,83,86,22
185,0,23.558,23.558,23.558,113,136,22
186,0,21.469,21.469,21.469,120,90,22
187,0,20.411,20.411,20.411,117,0,22
188,0,20.404,20.404,20.404,9,68,22
189,0,18.597,18.597,18.597,65,52,22
190,0,17.497,17.497,17.497,124,117,22
191,0,17.370,17.370,17.370,69,120,22
192,0,15.804,15.804,15.804,11,10,22
193,0,15.059,15.059,15.059,124,75,22
194,0,14.957,14.957,14.957,9,49,22
195,0,13.968,13.968,13.968,55,25,22
196,0,13.658,13.658,13.658,109,112,22
197,0,13.361,13.361,13.361,9,85,22
198,0,11.725,11.725,11.725,124,161,22
199,0,36.966,36.966,36.966,124,76,23
200,0,31.934,31.934,31.934,66,79,23
201,0,31.530,31.530,31.530,107,119,23
202,0,30.473,30.473,30.473,56,77,23
203,0,27.682,27.682,27.682,91,25,23
204,0,27.632,27.632,27.632,98,19,23
205,0,25.764,25.764,25.764,115,143,23
206,0,24.761,24.761,24.761,83,45,23
207,0,23.725,23.725,23.725,81,89,23
208,0,23.687,23.687,23.687,45,98,23
209,0,23.545,23.545,23.545,54,96,23
210,0,23.081,23.081,23.081,69,119,23
211,0,19.418,19.418,19.418,66,93,23
212,0,18.455,18.455,18.455,94,4,23
213,0,17.746,17.746,17.746,122,65,23
214,0,16.883,16.883,16.883,99,37,23
215,0,16.715,16.715,16.715,9,68,23
216,0,14.834,14.834,14.834,10,85,23
217,0,14.292,14.292,14.292,119,20,23
218,0,14.236,14.236,14.236,124,104,23
219,0,13.972,13.972,13.972,77,144,23
220,0,13.256,13.256,13.256,60,132,23
221,0,12.993,12.993,12.993,10,10,23
222,0,35.836,35.836,35.836,124,84,24
223,0,34.258,34.258,34.258,44,100,24
224,0,32.036,32.036,32.036,107,121,24
225,0,25.673,25.673,25.673,53,105,24
226,0,24.119,24.119,24.119,81,124,24
227,0,22.989,22.989,22.989,121,107,24
228,0,22.003,22.003,22.003,87,93,24
229,0,21.781,21.781,21.781,73,93,24
230,0,21.466,21.466,21.466,45,89,24
231,0,21.412,21.412,21.412,124,137,24
