 ,Area,Mean,Min,Max,X,Y,Slice
1,0,19.926,19.926,19.926,50,77,1
2,0,18.932,18.932,18.932,63,182,1
3,0,18.029,18.029,18.029,59,51,1
4,0,17.964,17.964,17.964,29,6,1
5,0,16.807,16.807,16.807,2,20,1
6,0,16.432,16.432,16.432,73,110,1
7,0,16.358,16.358,16.358,92,16,1
8,0,15.932,15.932,15.932,75,77,1
9,0,15.859,15.859,15.859,100,191,1
10,0,15.844,15.844,15.844,64,215,1
11,0,20.196,20.196,20.196,50,77,2
12,0,19.410,19.410,19.410,75,77,2
13,0,18.624,18.624,18.624,124,0,2
14,0,18.113,18.113,18.113,29,6,2
15,0,18.032,18.032,18.032,59,51,2
16,0,18.018,18.018,18.018,2,20,2
17,0,16.300,16.300,16.300,64,215,2
18,0,15.887,15.887,15.887,63,182,2
19,0,15.881,15.881,15.881,92,16,2
20,0,15.809,15.809,15.809,49,219,2
21,0,24.633,24.633,24.633,113,3,3
22,0,24.520,24.520,24.520,115,7,3
23,0,22.529,22.529,22.529,124,12,3
24,0,20.409,20.409,20.409,50,77,3
25,0,18.632,18.632,18.632,63,182,3
26,0,18.009,18.009,18.009,29,6,3
27,0,17.935,17.935,17.935,59,51,3
28,0,17.542,17.542,17.542,75,77,3
29,0,16.489,16.489,16.489,81,24,3
30,0,15.770,15.770,15.770,64,215,3
31,0,15.748,15.748,15.748,2,20,3
32,0,25.540,25.540,25.540,124,12,4
33,0,24.661,24.661,24.661,123,15,4
34,0,24.624,24.624,24.624,113,3,4
35,0,24.035,24.035,24.035,115,7,4
36,0,22.453,22.453,22.453,118,4,4
37,0,19.711,19.711,19.711,75,77,4
38,0,19.486,19.486,19.486,50,77,4
39,0,18.676,18.676,18.676,63,182,4
40,0,18.642,18.642,18.642,29,6,4
41,0,18.313,18.313,18.313,79,0,4
42,0,17.875,17.875,17.875,59,51,4
43,0,17.374,17.374,17.374,100,1,4
44,0,16.077,16.077,16.077,73,110,4
45,0,15.983,15.983,15.983,64,215,4
46,0,15.687,15.687,15.687,2,20,4
47,0,27.703,27.703,27.703,78,1,5
48,0,26.740,26.740,26.740,124,12,5
49,0,24.950,24.950,24.950,80,2,5
50,0,24.700,24.700,24.700,123,15,5
51,0,22.945,22.945,22.945,85,0,5
52,0,22.462,22.462,22.462,105,14,5
53,0,19.493,19.493,19.493,50,77,5
54,0,18.372,18.372,18.372,75,77,5
55,0,18.234,18.234,18.234,59,51,5
56,0,17.585,17.585,17.585,29,6,5
57,0,17.028,17.028,17.028,63,182,5
58,0,16.942,16.942,16.942,92,16,5
59,0,16.912,16.912,16.912,2,20,5
60,0,16.464,16.464,16.464,46,158,5
61,0,16.447,16.447,16.447,39,15,5
62,0,16.197,16.197,16.197,64,215,5
63,0,16.197,16.197,16.197,88,60,5
64,0,16.040,16.040,16.040,57,150,5
65,0,32.818,32.818,32.818,117,25,6
66,0,28.627,28.627,28.627,101,25,6
67,0,26.446,26.446,26.446,78,1,6
68,0,24.915,24.915,24.915,80,2,6
69,0,23.079,23.079,23.079,107,23,6
70,0,22.758,22.758,22.758,123,31,6
71,0,22.590,22.590,22.590,81,9,6
72,0,20.191,20.191,20.191,50,77,6
73,0,20.099,20.099,20.099,2,20,6
74,0,19.069,19.069,19.069,100,1,6
75,0,18.459,18.459,18.459,63,182,6
76,0,18.355,18.355,18.355,75,77,6
77,0,17.881,17.881,17.881,59,51,6
78,0,17.688,17.688,17.688,29,6,6
79,0,16.742,16.742,16.742,57,150,6
80,0,16.429,16.429,16.429,46,158,6
81,0,16.000,16.000,16.000,64,215,6
82,0,15.789,15.789,15.789,78,127,6
83,0,15.572,15.572,15.572,110,217,6
84,0,33.505,33.505,33.505,101,25,7
85,0,27.836,27.836,27.836,120,45,7
86,0,26.810,26.810,26.810,100,1,7
87,0,25.233,25.233,25.233,115,32,7
88,0,24.604,24.604,24.604,123,31,7
89,0,24.376,24.376,24.376,119,33,7
90,0,23.961,23.961,23.961,95,25,7
91,0,23.162,23.162,23.162,66,4,7
92,0,22.607,22.607,22.607,101,28,7
93,0,22.329,22.329,22.329,78,10,7
94,0,21.022,21.022,21.022,117,25,7
95,0,20.056,20.056,20.056,50,77,7
96,0,19.051,19.051,19.051,75,77,7
97,0,18.461,18.461,18.461,29,6,7
98,0,17.983,17.983,17.983,63,182,7
99,0,17.741,17.741,17.741,2,20,7
100,0,17.348,17.348,17.348,59,51,7
101,0,16.729,16.729,16.729,39,15,7
102,0,16.370,16.370,16.370,49,219,7
103,0,32.584,32.584,32.584,100,1,8
104,0,31.782,31.782,31.782,120,45,8
105,0,30.789,30.789,30.789,109,39,8
106,0,25.892,25.892,25.892,101,25,8
107,0,24.899,24.899,24.899,66,4,8
108,0,24.135,24.135,24.135,123,31,8
109,0,23.234,23.234,23.234,119,33,8
110,0,22.604,22.604,22.604,115,32,8
111,0,19.521,19.521,19.521,50,77,8
112,0,19.484,19.484,19.484,59,51,8
113,0,18.759,18.759,18.759,81,24,8
114,0,18.210,18.210,18.210,63,182,8
115,0,17.947,17.947,17.947,118,4,8
116,0,17.904,17.904,17.904,75,77,8
117,0,17.866,17.866,17.866,2,20,8
118,0,17.492,17.492,17.492,29,6,8
119,0,17.311,17.311,17.311,57,150,8
120,0,16.458,16.458,16.458,46,158,8
121,0,15.682,15.682,15.682,49,219,8
122,0,33.017,33.017,33.017,115,69,9
123,0,29.951,29.951,29.951,109,39,9
124,0,29.439,29.439,29.439,100,1,9
125,0,28.514,28.514,28.514,120,45,9
126,0,27.650,27.650,27.650,103,40,9
127,0,26.518,26.518,26.518,112,38,9
128,0,26.415,26.415,26.415,109,37,9
129,0,25.482,25.482,25.482,123,49,9
130,0,24.985,24.985,24.985,81,24,9
131,0,23.829,23.829,23.829,98,8,9
132,0,23.236,23.236,23.236,113,50,9
133,0,22.835,22.835,22.835,54,2,9
134,0,22.783,22.783,22.783,99,13,9
135,0,21.887,21.887,21.887,65,11,9
136,0,20.854,20.854,20.854,101,25,9
137,0,20.562,20.562,20.562,105,14,9
138,0,19.417,19.417,19.417,50,77,9
139,0,19.352,19.352,19.352,74,18,9
140,0,18.630,18.630,18.630,59,51,9
141,0,18.144,18.144,18.144,29,6,9
142,0,18.137,18.137,18.137,75,77,9
143,0,17.431,17.431,17.431,2,20,9
